date,trend_name,google_score,category
2025-01-19,Romcom Core,0,Womenswear
2025-01-26,Romcom Core,0,Womenswear
2025-02-02,Romcom Core,0,Womenswear
2025-02-09,Romcom Core,0,Womenswear
2025-02-16,Romcom Core,0,Womenswear
2025-02-23,Romcom Core,0,Womenswear
2025-03-02,Romcom Core,0,Womenswear
2025-03-09,Romcom Core,0,Womenswear
2025-03-16,Romcom Core,0,Womenswear
2025-03-23,Romcom Core,0,Womenswear
2025-03-30,Romcom Core,0,Womenswear
2025-04-06,Romcom Core,0,Womenswear
2025-04-13,Romcom Core,0,Womenswear
2025-04-20,Romcom Core,0,Womenswear
2025-04-27,Romcom Core,0,Womenswear
2025-05-04,Romcom Core,0,Womenswear
2025-05-11,Romcom Core,0,Womenswear
2025-05-18,Romcom Core,0,Womenswear
2025-05-25,Romcom Core,0,Womenswear
2025-06-01,Romcom Core,0,Womenswear
2025-06-08,Romcom Core,0,Womenswear
2025-06-15,Romcom Core,0,Womenswear
2025-06-22,Romcom Core,0,Womenswear
2025-06-29,Romcom Core,0,Womenswear
2025-07-06,Romcom Core,100,Womenswear
2025-07-13,Romcom Core,0,Womenswear
2025-07-20,Romcom Core,0,Womenswear
2025-07-27,Romcom Core,0,Womenswear
2025-08-03,Romcom Core,0,Womenswear
2025-08-10,Romcom Core,0,Womenswear
2025-08-17,Romcom Core,0,Womenswear
2025-08-24,Romcom Core,0,Womenswear
2025-08-31,Romcom Core,0,Womenswear
2025-09-07,Romcom Core,0,Womenswear
2025-09-14,Romcom Core,0,Womenswear
2025-09-21,Romcom Core,0,Womenswear
2025-09-28,Romcom Core,0,Womenswear
2025-10-05,Romcom Core,0,Womenswear
2025-10-12,Romcom Core,0,Womenswear
2025-10-19,Romcom Core,0,Womenswear
2025-10-26,Romcom Core,0,Womenswear
2025-11-02,Romcom Core,0,Womenswear
2025-11-09,Romcom Core,0,Womenswear
2025-11-16,Romcom Core,0,Womenswear
2025-11-23,Romcom Core,0,Womenswear
2025-11-30,Romcom Core,0,Womenswear
2025-12-07,Romcom Core,0,Womenswear
2025-12-14,Romcom Core,0,Womenswear
2025-12-21,Romcom Core,0,Womenswear
2025-12-28,Romcom Core,0,Womenswear
2020-12-27,Coastal Cowgirl,0,Womenswear
2021-01-03,Coastal Cowgirl,0,Womenswear
2021-01-10,Coastal Cowgirl,0,Womenswear
2021-01-17,Coastal Cowgirl,0,Womenswear
2021-01-24,Coastal Cowgirl,0,Womenswear
2021-01-31,Coastal Cowgirl,0,Womenswear
2021-02-07,Coastal Cowgirl,0,Womenswear
2021-02-14,Coastal Cowgirl,0,Womenswear
2021-02-21,Coastal Cowgirl,0,Womenswear
2021-02-28,Coastal Cowgirl,0,Womenswear
2021-03-07,Coastal Cowgirl,0,Womenswear
2021-03-14,Coastal Cowgirl,0,Womenswear
2021-03-21,Coastal Cowgirl,0,Womenswear
2021-03-28,Coastal Cowgirl,0,Womenswear
2021-04-04,Coastal Cowgirl,0,Womenswear
2021-04-11,Coastal Cowgirl,0,Womenswear
2021-04-18,Coastal Cowgirl,0,Womenswear
2021-04-25,Coastal Cowgirl,0,Womenswear
2021-05-02,Coastal Cowgirl,0,Womenswear
2021-05-09,Coastal Cowgirl,0,Womenswear
2021-05-16,Coastal Cowgirl,0,Womenswear
2021-05-23,Coastal Cowgirl,0,Womenswear
2021-05-30,Coastal Cowgirl,0,Womenswear
2021-06-06,Coastal Cowgirl,0,Womenswear
2021-06-13,Coastal Cowgirl,0,Womenswear
2021-06-20,Coastal Cowgirl,0,Womenswear
2021-06-27,Coastal Cowgirl,0,Womenswear
2021-07-04,Coastal Cowgirl,0,Womenswear
2021-07-11,Coastal Cowgirl,0,Womenswear
2021-07-18,Coastal Cowgirl,0,Womenswear
2021-07-25,Coastal Cowgirl,0,Womenswear
2021-08-01,Coastal Cowgirl,0,Womenswear
2021-08-08,Coastal Cowgirl,0,Womenswear
2021-08-15,Coastal Cowgirl,0,Womenswear
2021-08-22,Coastal Cowgirl,0,Womenswear
2021-08-29,Coastal Cowgirl,0,Womenswear
